code,pseudonym,gender,age_label,education,relevant_experience,skills,reach_indicator,interaction_indicator,benchmark,additional_information,cell_id,education_level,education_major,productivity_group,reach_value,interaction_value,reach_band,interaction_band,experience_months,age_years,age_months
C-001,Kandidat 001,Perempuan,25 tahun 7 bulan,"SMK, Desain komunikasi visual",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 355,"Rata-rata interaksi per postingan: 9 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,1,SMK,Desain komunikasi visual,"Jangkauan rendah, interaksi rendah",355,9,Jangkauan rendah,Interaksi rendah,12,25,7
C-002,Kandidat 002,Laki-laki,24 tahun 10 bulan,"SMK, Desain komunikasi visual",0 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 220,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,1,SMK,Desain komunikasi visual,"Jangkauan rendah, interaksi rendah",220,3,Jangkauan rendah,Interaksi rendah,6,24,10
C-003,Kandidat 003,Perempuan,25 tahun 11 bulan,"SMK, Pemasaran",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 255,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,1,SMK,Pemasaran,"Jangkauan rendah, interaksi rendah",255,3,Jangkauan rendah,Interaksi rendah,6,25,11
C-004,Kandidat 004,Laki-laki,24 tahun 1 bulan,"SMK, Multimedia",1 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 279,"Rata-rata interaksi per postingan: 25 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",279,25,Jangkauan rendah,Interaksi rendah,12,24,1
C-005,Kandidat 005,Laki-laki,22 tahun 3 bulan,"SMK, Multimedia",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 233,"Rata-rata interaksi per postingan: 16 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",233,16,Jangkauan rendah,Interaksi rendah,12,22,3
C-006,Kandidat 006,Perempuan,22 tahun 2 bulan,"SMK, Multimedia",1 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 110,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",110,3,Jangkauan rendah,Interaksi rendah,12,22,2
C-007,Kandidat 007,Laki-laki,20 tahun 4 bulan,"SMK, Pemasaran",0 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 306,"Rata-rata interaksi per postingan: 7 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,1,SMK,Pemasaran,"Jangkauan rendah, interaksi rendah",306,7,Jangkauan rendah,Interaksi rendah,6,20,4
C-008,Kandidat 008,Laki-laki,25 tahun 6 bulan,"SMK, Multimedia",2 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 111,"Rata-rata interaksi per postingan: 6 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",111,6,Jangkauan rendah,Interaksi rendah,24,25,6
C-009,Kandidat 009,Perempuan,24 tahun 6 bulan,"SMK, Multimedia",1 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 226,"Rata-rata interaksi per postingan: 4 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",226,4,Jangkauan rendah,Interaksi rendah,18,24,6
C-010,Kandidat 010,Perempuan,19 tahun 0 bulan,"SMK, Administrasi perkantoran",1 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 376,"Rata-rata interaksi per postingan: 19 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,1,SMK,Administrasi perkantoran,"Jangkauan rendah, interaksi rendah",376,19,Jangkauan rendah,Interaksi rendah,18,19,0
C-011,Kandidat 011,Perempuan,20 tahun 4 bulan,"SMK, Pemasaran",1 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 345,"Rata-rata interaksi per postingan: 4 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,1,SMK,Pemasaran,"Jangkauan rendah, interaksi rendah",345,4,Jangkauan rendah,Interaksi rendah,18,20,4
C-012,Kandidat 012,Perempuan,24 tahun 7 bulan,"SMK, Desain komunikasi visual",2 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 213,"Rata-rata interaksi per postingan: 11 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,1,SMK,Desain komunikasi visual,"Jangkauan rendah, interaksi rendah",213,11,Jangkauan rendah,Interaksi rendah,24,24,7
C-013,Kandidat 013,Laki-laki,19 tahun 0 bulan,"SMK, Administrasi perkantoran",2 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 473,"Rata-rata interaksi per postingan: 5 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,1,SMK,Administrasi perkantoran,"Jangkauan rendah, interaksi rendah",473,5,Jangkauan rendah,Interaksi rendah,24,19,0
C-014,Kandidat 014,Laki-laki,21 tahun 3 bulan,"SMK, Administrasi perkantoran",2 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 169,"Rata-rata interaksi per postingan: 98 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,2,SMK,Administrasi perkantoran,"Jangkauan rendah, interaksi tinggi",169,98,Jangkauan rendah,Interaksi tinggi,24,21,3
C-015,Kandidat 015,Perempuan,21 tahun 4 bulan,"SMK, Pemasaran",1 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 117,"Rata-rata interaksi per postingan: 41 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,2,SMK,Pemasaran,"Jangkauan rendah, interaksi tinggi",117,41,Jangkauan rendah,Interaksi tinggi,18,21,4
C-016,Kandidat 016,Laki-laki,20 tahun 7 bulan,"SMK, Administrasi perkantoran",1 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 152,"Rata-rata interaksi per postingan: 94 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,2,SMK,Administrasi perkantoran,"Jangkauan rendah, interaksi tinggi",152,94,Jangkauan rendah,Interaksi tinggi,18,20,7
C-017,Kandidat 017,Laki-laki,22 tahun 3 bulan,"SMK, Multimedia",1 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 435,"Rata-rata interaksi per postingan: 106 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,2,SMK,Multimedia,"Jangkauan rendah, interaksi tinggi",435,106,Jangkauan rendah,Interaksi tinggi,18,22,3
C-018,Kandidat 018,Perempuan,19 tahun 6 bulan,"SMK, Multimedia",2 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 325,"Rata-rata interaksi per postingan: 53 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,2,SMK,Multimedia,"Jangkauan rendah, interaksi tinggi",325,53,Jangkauan rendah,Interaksi tinggi,24,19,6
C-019,Kandidat 019,Laki-laki,24 tahun 8 bulan,"SMK, Administrasi perkantoran",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 119,"Rata-rata interaksi per postingan: 88 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,2,SMK,Administrasi perkantoran,"Jangkauan rendah, interaksi tinggi",119,88,Jangkauan rendah,Interaksi tinggi,6,24,8
C-020,Kandidat 020,Perempuan,22 tahun 0 bulan,"SMK, Administrasi perkantoran",1 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 102,"Rata-rata interaksi per postingan: 63 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,2,SMK,Administrasi perkantoran,"Jangkauan rendah, interaksi tinggi",102,63,Jangkauan rendah,Interaksi tinggi,12,22,0
C-021,Kandidat 021,Laki-laki,21 tahun 6 bulan,"SMK, Desain komunikasi visual",1 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 104,"Rata-rata interaksi per postingan: 104 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,2,SMK,Desain komunikasi visual,"Jangkauan rendah, interaksi tinggi",104,104,Jangkauan rendah,Interaksi tinggi,12,21,6
C-022,Kandidat 022,Laki-laki,21 tahun 1 bulan,"SMK, Pemasaran",0 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 103,"Rata-rata interaksi per postingan: 47 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,2,SMK,Pemasaran,"Jangkauan rendah, interaksi tinggi",103,47,Jangkauan rendah,Interaksi tinggi,6,21,1
C-023,Kandidat 023,Laki-laki,20 tahun 4 bulan,"SMK, Multimedia",1 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 288,"Rata-rata interaksi per postingan: 127 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,2,SMK,Multimedia,"Jangkauan rendah, interaksi tinggi",288,127,Jangkauan rendah,Interaksi tinggi,12,20,4
C-024,Kandidat 024,Perempuan,21 tahun 10 bulan,"SMK, Multimedia",2 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 100,"Rata-rata interaksi per postingan: 108 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,2,SMK,Multimedia,"Jangkauan rendah, interaksi tinggi",100,108,Jangkauan rendah,Interaksi tinggi,24,21,10
C-025,Kandidat 025,Perempuan,20 tahun 3 bulan,"SMK, Pemasaran",0 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 184,"Rata-rata interaksi per postingan: 25 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,2,SMK,Pemasaran,"Jangkauan rendah, interaksi tinggi",184,25,Jangkauan rendah,Interaksi tinggi,6,20,3
C-026,Kandidat 026,Perempuan,24 tahun 9 bulan,"SMK, Desain komunikasi visual",1 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 148,"Rata-rata interaksi per postingan: 134 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,2,SMK,Desain komunikasi visual,"Jangkauan rendah, interaksi tinggi",148,134,Jangkauan rendah,Interaksi tinggi,18,24,9
C-027,Kandidat 027,Perempuan,23 tahun 0 bulan,"SMK, Administrasi perkantoran",0 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 1.074,"Rata-rata interaksi per postingan: 23 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,3,SMK,Administrasi perkantoran,"Jangkauan tinggi, interaksi rendah",1074,23,Jangkauan tinggi,Interaksi rendah,6,23,0
C-028,Kandidat 028,Laki-laki,19 tahun 11 bulan,"SMK, Desain komunikasi visual",2 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 1.577,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,3,SMK,Desain komunikasi visual,"Jangkauan tinggi, interaksi rendah",1577,3,Jangkauan tinggi,Interaksi rendah,24,19,11
C-029,Kandidat 029,Perempuan,20 tahun 9 bulan,"SMK, Desain komunikasi visual",1 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 827,"Rata-rata interaksi per postingan: 9 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,3,SMK,Desain komunikasi visual,"Jangkauan tinggi, interaksi rendah",827,9,Jangkauan tinggi,Interaksi rendah,18,20,9
C-030,Kandidat 030,Perempuan,21 tahun 8 bulan,"SMK, Desain komunikasi visual",1 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 768,"Rata-rata interaksi per postingan: 7 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,3,SMK,Desain komunikasi visual,"Jangkauan tinggi, interaksi rendah",768,7,Jangkauan tinggi,Interaksi rendah,18,21,8
C-031,Kandidat 031,Laki-laki,19 tahun 1 bulan,"SMK, Multimedia",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 1.395,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,3,SMK,Multimedia,"Jangkauan tinggi, interaksi rendah",1395,3,Jangkauan tinggi,Interaksi rendah,6,19,1
C-032,Kandidat 032,Perempuan,24 tahun 11 bulan,"SMK, Administrasi perkantoran",1 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 979,"Rata-rata interaksi per postingan: 8 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,3,SMK,Administrasi perkantoran,"Jangkauan tinggi, interaksi rendah",979,8,Jangkauan tinggi,Interaksi rendah,18,24,11
C-033,Kandidat 033,Laki-laki,25 tahun 0 bulan,"SMK, Administrasi perkantoran",2 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 1.986,"Rata-rata interaksi per postingan: 18 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,3,SMK,Administrasi perkantoran,"Jangkauan tinggi, interaksi rendah",1986,18,Jangkauan tinggi,Interaksi rendah,24,25,0
C-034,Kandidat 034,Perempuan,23 tahun 4 bulan,"SMK, Pemasaran",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 2.458,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,3,SMK,Pemasaran,"Jangkauan tinggi, interaksi rendah",2458,3,Jangkauan tinggi,Interaksi rendah,6,23,4
C-035,Kandidat 035,Laki-laki,22 tahun 3 bulan,"SMK, Multimedia",2 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 529,"Rata-rata interaksi per postingan: 20 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,3,SMK,Multimedia,"Jangkauan tinggi, interaksi rendah",529,20,Jangkauan tinggi,Interaksi rendah,24,22,3
C-036,Kandidat 036,Laki-laki,20 tahun 1 bulan,"SMK, Desain komunikasi visual",1 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 1.026,"Rata-rata interaksi per postingan: 15 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,3,SMK,Desain komunikasi visual,"Jangkauan tinggi, interaksi rendah",1026,15,Jangkauan tinggi,Interaksi rendah,12,20,1
C-037,Kandidat 037,Laki-laki,19 tahun 3 bulan,"SMK, Pemasaran",1 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 1.843,"Rata-rata interaksi per postingan: 17 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,3,SMK,Pemasaran,"Jangkauan tinggi, interaksi rendah",1843,17,Jangkauan tinggi,Interaksi rendah,12,19,3
